benchmark,size,backend,run,timestamp,compile_time_seconds,status,error
count_10s,N: 4096,motion,4,2026-04-22T12:12:45Z,0.349295,ok,
count_10s,N: 4096,motion,5,2026-04-22T12:12:45Z,0.364990,ok,
count_10s,N: 4096,motion,6,2026-04-22T12:12:45Z,0.343656,ok,
count_10s,N: 4096,motion,7,2026-04-22T12:12:46Z,0.347272,ok,
count_10s,N: 4096,motion,8,2026-04-22T12:12:46Z,0.363546,ok,
count_10s,N: 4096,motion,9,2026-04-22T12:12:47Z,0.345950,ok,
count_10s,N: 4096,motion,10,2026-04-22T12:12:47Z,0.367180,ok,
count_10s,N: 4096,mp_spdz,1,2026-04-22T12:12:47Z,0.337522,ok,
count_10s,N: 4096,mp_spdz,2,2026-04-22T12:12:48Z,0.338435,ok,
count_10s,N: 4096,mp_spdz,3,2026-04-22T12:12:48Z,0.351499,ok,
count_10s,N: 4096,mp_spdz,4,2026-04-22T12:12:48Z,0.341362,ok,
count_10s,N: 4096,mp_spdz,5,2026-04-22T12:12:49Z,0.332109,ok,
count_10s,N: 4096,mp_spdz,6,2026-04-22T12:12:49Z,0.348459,ok,
count_10s,N: 4096,mp_spdz,7,2026-04-22T12:12:49Z,0.339058,ok,
count_10s,N: 4096,mp_spdz,8,2026-04-22T12:12:50Z,0.347934,ok,
count_10s,N: 4096,mp_spdz,9,2026-04-22T12:12:50Z,0.338661,ok,
count_10s,N: 4096,mp_spdz,10,2026-04-22T12:12:50Z,0.346646,ok,
count_123,N: 1024,motion,1,2026-04-22T12:12:51Z,0.388940,ok,
count_123,N: 1024,motion,2,2026-04-22T12:12:51Z,0.378242,ok,
count_123,N: 1024,motion,3,2026-04-22T12:12:51Z,0.393985,ok,
count_123,N: 1024,motion,4,2026-04-22T12:12:52Z,0.378270,ok,
count_123,N: 1024,motion,5,2026-04-22T12:12:52Z,0.409325,ok,
count_123,N: 1024,motion,6,2026-04-22T12:12:53Z,0.376782,ok,
count_123,N: 1024,motion,7,2026-04-22T12:12:53Z,0.386052,ok,
count_123,N: 1024,motion,8,2026-04-22T12:12:53Z,0.378562,ok,
count_123,N: 1024,motion,9,2026-04-22T12:12:54Z,0.389398,ok,
count_123,N: 1024,motion,10,2026-04-22T12:12:54Z,0.376868,ok,
count_123,N: 1024,mp_spdz,1,2026-04-22T12:12:55Z,0.399970,ok,
count_123,N: 1024,mp_spdz,2,2026-04-22T12:12:55Z,0.389382,ok,
count_123,N: 1024,mp_spdz,3,2026-04-22T12:12:55Z,0.401788,ok,
count_123,N: 1024,mp_spdz,4,2026-04-22T12:12:56Z,0.374561,ok,
count_123,N: 1024,mp_spdz,5,2026-04-22T12:12:56Z,0.396510,ok,
count_123,N: 1024,mp_spdz,6,2026-04-22T12:12:57Z,0.391979,ok,
count_123,N: 1024,mp_spdz,7,2026-04-22T12:12:57Z,0.376681,ok,
count_123,N: 1024,mp_spdz,8,2026-04-22T12:12:57Z,0.398268,ok,
count_123,N: 1024,mp_spdz,9,2026-04-22T12:12:58Z,0.392360,ok,
count_123,N: 1024,mp_spdz,10,2026-04-22T12:12:58Z,0.398839,ok,
count_123,N: 4096,motion,1,2026-04-22T12:12:58Z,0.385604,ok,
count_123,N: 4096,motion,2,2026-04-22T12:12:59Z,0.410549,ok,
count_123,N: 4096,motion,3,2026-04-22T12:12:59Z,0.400231,ok,
count_123,N: 4096,motion,4,2026-04-22T12:13:00Z,0.407312,ok,
count_123,N: 4096,motion,5,2026-04-22T12:13:00Z,0.388307,ok,
count_123,N: 4096,motion,6,2026-04-22T12:13:00Z,0.398697,ok,
count_123,N: 4096,motion,7,2026-04-22T12:13:01Z,0.395632,ok,
count_123,N: 4096,motion,8,2026-04-22T12:13:01Z,0.408458,ok,
count_123,N: 4096,motion,9,2026-04-22T12:13:02Z,0.389247,ok,
count_123,N: 4096,motion,10,2026-04-22T12:13:02Z,0.582747,ok,
count_123,N: 4096,mp_spdz,1,2026-04-22T12:13:03Z,0.518736,ok,
count_123,N: 4096,mp_spdz,2,2026-04-22T12:13:03Z,0.410065,ok,
count_123,N: 4096,mp_spdz,3,2026-04-22T12:13:04Z,0.406551,ok,
count_123,N: 4096,mp_spdz,4,2026-04-22T12:13:04Z,0.414557,ok,
count_123,N: 4096,mp_spdz,5,2026-04-22T12:13:04Z,0.397921,ok,
count_123,N: 4096,mp_spdz,6,2026-04-22T12:13:05Z,0.404072,ok,
count_123,N: 4096,mp_spdz,7,2026-04-22T12:13:05Z,0.400898,ok,
count_123,N: 4096,mp_spdz,8,2026-04-22T12:13:06Z,0.618172,ok,
count_123,N: 4096,mp_spdz,9,2026-04-22T12:13:06Z,0.473766,ok,
count_123,N: 4096,mp_spdz,10,2026-04-22T12:13:07Z,0.409439,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",motion,1,2026-04-22T12:13:07Z,9.735002,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",motion,2,2026-04-22T12:13:17Z,8.959081,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",motion,3,2026-04-22T12:13:26Z,9.064366,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",motion,4,2026-04-22T12:13:35Z,8.924589,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",motion,5,2026-04-22T12:13:44Z,9.016037,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",motion,6,2026-04-22T12:13:53Z,8.856551,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",motion,7,2026-04-22T12:14:02Z,8.972986,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",motion,8,2026-04-22T12:14:11Z,8.995090,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",motion,9,2026-04-22T12:14:20Z,8.993211,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",motion,10,2026-04-22T12:14:29Z,8.862987,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",mp_spdz,1,2026-04-22T12:14:38Z,5.200516,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",mp_spdz,2,2026-04-22T12:14:43Z,5.256075,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",mp_spdz,3,2026-04-22T12:14:48Z,5.333300,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",mp_spdz,4,2026-04-22T12:14:53Z,5.643022,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",mp_spdz,5,2026-04-22T12:14:59Z,5.710714,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",mp_spdz,6,2026-04-22T12:15:05Z,5.510574,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",mp_spdz,7,2026-04-22T12:15:10Z,5.223028,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",mp_spdz,8,2026-04-22T12:15:15Z,5.208823,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",mp_spdz,9,2026-04-22T12:15:21Z,5.229707,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",mp_spdz,10,2026-04-22T12:15:26Z,5.256040,ok,
db_cross_join_trivial,"32, 32",motion,1,2026-04-22T12:15:31Z,4.068451,ok,
db_cross_join_trivial,"32, 32",motion,2,2026-04-22T12:15:35Z,4.095860,ok,
db_cross_join_trivial,"32, 32",motion,3,2026-04-22T12:15:39Z,4.111418,ok,
db_cross_join_trivial,"32, 32",motion,4,2026-04-22T12:15:43Z,4.063339,ok,
db_cross_join_trivial,"32, 32",motion,5,2026-04-22T12:15:47Z,4.073210,ok,
db_cross_join_trivial,"32, 32",motion,6,2026-04-22T12:15:51Z,4.035326,ok,
db_cross_join_trivial,"32, 32",motion,7,2026-04-22T12:15:56Z,4.077760,ok,
db_cross_join_trivial,"32, 32",motion,8,2026-04-22T12:16:00Z,4.043639,ok,
db_cross_join_trivial,"32, 32",motion,9,2026-04-22T12:16:04Z,4.018184,ok,
db_cross_join_trivial,"32, 32",motion,10,2026-04-22T12:16:08Z,4.069348,ok,
db_cross_join_trivial,"32, 32",mp_spdz,1,2026-04-22T12:16:12Z,5.354901,ok,
db_cross_join_trivial,"32, 32",mp_spdz,2,2026-04-22T12:16:17Z,5.382685,ok,
